bidNtceNo,bidNtceOrd,bidClsfcNo,rbidNo,bidNtceNm,plnprc,bssamt,totRsrvtnPrceNum,compnoRsrvtnPrceSno,bsisPlnprc,drwtYn,drwtNum,bidwinrSlctnAplBssCntnts,rlOpengDt,bssamtBssUpNum,compnoRsrvtnPrceMkngDt,inptDt,PrearngPrcePurcnstcst
20220127219,000,0,000,2022년 하수도 연간단가 준설공사,99076450,98752000,15,12,96715800,N,5,행자부,2022-02-04 11:49:20,7,2022-01-26 16:37:23,2022-02-04 11:49:20,
20220127219,000,0,000,2022년 하수도 연간단가 준설공사,99076450,98752000,15,13,99611200,N,4,행자부,2022-02-04 11:49:20,7,2022-01-26 16:37:23,2022-02-04 11:49:20,
20220127219,000,0,000,2022년 하수도 연간단가 준설공사,99076450,98752000,15,14,100738000,N,5,행자부,2022-02-04 11:49:20,7,2022-01-26 16:37:23,2022-02-04 11:49:20,
20220127219,000,0,000,2022년 하수도 연간단가 준설공사,99076450,98752000,15,15,99103600,N,3,행자부,2022-02-04 11:49:20,7,2022-01-26 16:37:23,2022-02-04 11:49:20,
20220117022,000,0,000,2022년 관내2구역 하수도 준설공사(연간단가),49999825,49900000,15,1,48802700,Y,6,행자부,2022-01-25 13:21:15,7,2022-01-18 17:26:00,2022-01-25 13:21:15,
20220117022,000,0,000,2022년 관내2구역 하수도 준설공사(연간단가),49999825,49900000,15,2,50583200,Y,5,행자부,2022-01-25 13:21:15,7,2022-01-18 17:26:00,2022-01-25 13:21:15,
20220117022,000,0,000,2022년 관내2구역 하수도 준설공사(연간단가),49999825,49900000,15,3,49375600,N,3,행자부,2022-01-25 13:21:15,7,2022-01-18 17:26:00,2022-01-25 13:21:15,
20220117022,000,0,000,2022년 관내2구역 하수도 준설공사(연간단가),49999825,49900000,15,4,51009800,N,5,행자부,2022-01-25 13:21:15,7,2022-01-18 17:26:00,2022-01-25 13:21:15,
20220117022,000,0,000,2022년 관내2구역 하수도 준설공사(연간단가),49999825,49900000,15,5,48451500,N,4,행자부,2022-01-25 13:21:15,7,2022-01-18 17:26:00,2022-01-25 13:21:15,
20220117022,000,0,000,2022년 관내2구역 하수도 준설공사(연간단가),49999825,49900000,15,6,48613600,N,1,행자부,2022-01-25 13:21:15,7,2022-01-18 17:26:00,2022-01-25 13:21:15,
20220117022,000,0,000,2022년 관내2구역 하수도 준설공사(연간단가),49999825,49900000,15,7,50498800,Y,6,행자부,2022-01-25 13:21:15,7,2022-01-18 17:26:00,2022-01-25 13:21:15,
20220117022,000,0,000,2022년 관내2구역 하수도 준설공사(연간단가),49999825,49900000,15,8,50871600,N,3,행자부,2022-01-25 13:21:15,7,2022-01-18 17:26:00,2022-01-25 13:21:15,
20220117022,000,0,000,2022년 관내2구역 하수도 준설공사(연간단가),49999825,49900000,15,9,49758800,N,1,행자부,2022-01-25 13:21:15,7,2022-01-18 17:26:00,2022-01-25 13:21:15,
20220117022,000,0,000,2022년 관내2구역 하수도 준설공사(연간단가),49999825,49900000,15,10,50114600,Y,6,행자부,2022-01-25 13:21:15,7,2022-01-18 17:26:00,2022-01-25 13:21:15,
20220117022,000,0,000,2022년 관내2구역 하수도 준설공사(연간단가),49999825,49900000,15,11,51219900,N,2,행자부,2022-01-25 13:21:15,7,2022-01-18 17:26:00,2022-01-25 13:21:15,
20220117022,000,0,000,2022년 관내2구역 하수도 준설공사(연간단가),49999825,49900000,15,12,49536800,N,5,행자부,2022-01-25 13:21:15,7,2022-01-18 17:26:00,2022-01-25 13:21:15,
20220117022,000,0,000,2022년 관내2구역 하수도 준설공사(연간단가),49999825,49900000,15,13,49909500,N,4,행자부,2022-01-25 13:21:15,7,2022-01-18 17:26:00,2022-01-25 13:21:15,
20220117022,000,0,000,2022년 관내2구역 하수도 준설공사(연간단가),49999825,49900000,15,14,48970900,N,2,행자부,2022-01-25 13:21:15,7,2022-01-18 17:26:00,2022-01-25 13:21:15,
20220117022,000,0,000,2022년 관내2구역 하수도 준설공사(연간단가),49999825,49900000,15,15,49172000,N,1,행자부,2022-01-25 13:21:15,7,2022-01-18 17:26:00,2022-01-25 13:21:15,
20220116997,000,0,000,2022년 관내1구역 하수도 준설공사(연간단가),50149050,49900000,15,1,50499300,N,1,행자부,2022-01-25 13:18:32,7,2022-01-18 17:17:55,2022-01-25 13:18:32,
20220116997,000,0,000,2022년 관내1구역 하수도 준설공사(연간단가),50149050,49900000,15,2,50184500,N,3,행자부,2022-01-25 13:18:32,7,2022-01-18 17:17:55,2022-01-25 13:18:32,
20220116997,000,0,000,2022년 관내1구역 하수도 준설공사(연간단가),50149050,49900000,15,3,49391600,N,4,행자부,2022-01-25 13:18:32,7,2022-01-18 17:17:55,2022-01-25 13:18:32,
20220116997,000,0,000,2022년 관내1구역 하수도 준설공사(연간단가),50149050,49900000,15,4,50755300,Y,5,행자부,2022-01-25 13:18:32,7,2022-01-18 17:17:55,2022-01-25 13:18:32,
20220116997,000,0,000,2022년 관내1구역 하수도 준설공사(연간단가),50149050,49900000,15,5,49157000,N,3,행자부,2022-01-25 13:18:32,7,2022-01-18 17:17:55,2022-01-25 13:18:32,
20220116997,000,0,000,2022년 관내1구역 하수도 준설공사(연간단가),50149050,49900000,15,6,49771800,Y,5,행자부,2022-01-25 13:18:32,7,2022-01-18 17:17:55,2022-01-25 13:18:32,
20220116997,000,0,000,2022년 관내1구역 하수도 준설공사(연간단가),50149050,49900000,15,7,49642100,N,4,행자부,2022-01-25 13:18:32,7,2022-01-18 17:17:55,2022-01-25 13:18:32,
20220116997,000,0,000,2022년 관내1구역 하수도 준설공사(연간단가),50149050,49900000,15,8,48674500,N,5,행자부,2022-01-25 13:18:32,7,2022-01-18 17:17:55,2022-01-25 13:18:32,
